="",="Unemployment Rate",="",="",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="Overall",="High-Skill",="Middle-Skill",="Low-Skill"
="Panel A. Male",="",="",="",=""
="immigration share(denominator:pop i,91)",="0.057***",="0.260***",="-0.149***",="-0.103***"
="",="(0.020)",="(0.070)",="(0.048)",="(0.037)"
="fifteenshare_lag",="-0.326***",="-0.259**",="-0.091",="0.310**"
="",="(0.065)",="(0.122)",="(0.103)",="(0.138)"
="bachshare_ageall_lag",="-0.189***",="-0.081",="0.070",="0.039"
="",="(0.057)",="(0.082)",="(0.060)",="(0.067)"
="fifteen_trend",="-0.024",="0.051",="-0.099**",="0.048"
="",="(0.018)",="(0.056)",="(0.040)",="(0.039)"
="bach_trend",="0.023***",="0.052***",="-0.011",="-0.045***"
="",="(0.009)",="(0.012)",="(0.009)",="(0.014)"
="Observations",="2,480",="2,480",="2,480",="2,480"
="C-D F-stat",="169.178",="169.178",="169.178",="169.178"
="K-P F-stat",="17.960",="17.960",="17.960",="17.960"
="A-R F-stat",="7.719",="35.672",="22.968",="9.962"
="A-R p-value",="0.006",="0.000",="0.000",="0.002"
="Standard errors in parentheses"
="LGA fixed effects: Yes"
="Year fixed effects: Yes"
="In addition to the baseline controls, this specification includes the lagged share of the population aged 15-64."
="* p<0.10, ** p<0.05, *** p<0.01"
="Panel B. Female",="",="",="",=""
="immigration share(denominator:pop i,91)",="0.062***",="0.217***",="-0.158***",="-0.096***"
="",="(0.019)",="(0.069)",="(0.048)",="(0.034)"
="fifteenshare_lag",="-0.147**",="-0.456***",="-0.131",="0.296***"
="",="(0.058)",="(0.122)",="(0.110)",="(0.107)"
="bachshare_ageall_lag",="-0.131**",="0.112",="-0.056",="0.023"
="",="(0.054)",="(0.140)",="(0.089)",="(0.073)"
="fifteen_trend",="-0.033*",="0.034",="-0.118***",="0.078**"
="",="(0.020)",="(0.054)",="(0.041)",="(0.037)"
="bach_trend",="0.031***",="0.043**",="-0.045***",="-0.023"
="",="(0.010)",="(0.019)",="(0.011)",="(0.014)"
="Observations",="2,480",="2,480",="2,480",="2,480"
="C-D F-stat",="169.178",="169.178",="169.178",="169.178"
="K-P F-stat",="17.960",="17.960",="17.960",="17.960"
="A-R F-stat",="7.420",="16.647",="18.317",="10.993"
="A-R p-value",="0.007",="0.000",="0.000",="0.001"
="Standard errors in parentheses"
="LGA fixed effects: Yes"
="Year fixed effects: Yes"
="In addition to the baseline controls, this specification includes the lagged share of the population aged 15-64."
="* p<0.10, ** p<0.05, *** p<0.01"
