="",="Unemployment Rate",="",="",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="Overall",="High-Skill",="Middle-Skill",="Low-Skill"
="immigration share(denominator:pop i,91)",="0.059***",="0.248***",="-0.162***",="-0.100***"
="",="(0.018)",="(0.068)",="(0.047)",="(0.034)"
="fifteenshare_lag",="-0.252***",="-0.359***",="-0.134",="0.350***"
="",="(0.052)",="(0.118)",="(0.106)",="(0.115)"
="bachshare_ageall_lag",="-0.163***",="-0.018",="0.003",="0.076"
="",="(0.051)",="(0.088)",="(0.060)",="(0.067)"
="fifteen_trend",="-0.027",="0.041",="-0.103***",="0.055"
="",="(0.017)",="(0.053)",="(0.040)",="(0.036)"
="bach_trend",="0.026***",="0.051***",="-0.031***",="-0.033**"
="",="(0.009)",="(0.012)",="(0.010)",="(0.014)"
="Observations",="2,480",="2,480",="2,480",="2,480"
="C-D F-stat",="169.178",="169.178",="169.178",="169.178"
="K-P F-stat",="17.960",="17.960",="17.960",="17.960"
="A-R F-stat",="8.772",="32.799",="28.115",="11.699"
="A-R p-value",="0.003",="0.000",="0.000",="0.001"
="Standard errors in parentheses"
="LGA fixed effects: Yes"
="Year fixed effects: Yes"
="In addition to the baseline controls, this specification includes the lagged share of the population aged 15-64."
="* p<0.10, ** p<0.05, *** p<0.01"
