="",="(1)",="(2)",="(3)"
="",="Overall",="Male",="Female"
="immigration share(denominator:pop i,91)",="0.183***",="0.114***",="0.249***"
="",="(0.050)",="(0.044)",="(0.066)"
="fifteenshare_lag",="-0.079",="-0.032",="-0.118"
="",="(0.095)",="(0.092)",="(0.146)"
="bachshare_ageall_lag",="-0.029",="0.036",="-0.059"
="",="(0.074)",="(0.069)",="(0.116)"
="fifteen_trend",="0.085**",="0.063**",="0.108*"
="",="(0.036)",="(0.029)",="(0.062)"
="bach_trend",="0.037***",="0.024***",="0.049***"
="",="(0.010)",="(0.009)",="(0.015)"
="Observations",="2,479",="2,479",="2,479"
="C-D F-stat",="168.606",="168.606",="168.606"
="K-P F-stat",="17.928",="17.928",="17.928"
="A-R F-stat",="16.963",="7.633",="20.207"
="A-R p-value",="0.000",="0.006",="0.000"
="Standard errors in parentheses"
="LGA fixed effects: Yes"
="Year fixed effects: Yes"
="In addition to the baseline controls, this specification includes the lagged share of the population aged 15-64."
="* p<0.10, ** p<0.05, *** p<0.01"
