="",="mean",="sd",="min",="max",="count"
="Panel A. Immigration Exposure",="",="",="",="",=""
="immigration share(denominator:pop i,91)",="0.277",="0.227",="0.000",="2.557",="2480"
="",="mean",="sd",="min",="max",="count"
="Panel B. Labor Market Outcomes (Overall)",="",="",="",="",=""
="Unemployment rate (all ages, both sexes, denominator=labour force)",="0.056",="0.027",="0.000",="0.382",="2480"
="High-skill occupation share (Managers+Professionals / total employed, both sexes",="0.354",="0.105",="0.138",="0.745",="2480"
="Middle-skill occupation share (Technicians/Trades+Community Service+Clerical/Adm",="0.342",="0.066",="0.091",="0.513",="2480"
="Low-skill occupation share (Sales+Machinery Operators+Labourers / total employed",="0.284",="0.071",="0.084",="0.636",="2480"
="",="mean",="sd",="min",="max",="count"
="Panel C. Labor Market Outcomes (By Gender)",="",="",="",="",=""
="Unemployment rate (all ages, male)",="0.059",="0.031",="0.000",="0.357",="2480"
="Unemployment rate (all ages, female)",="0.053",="0.026",="0.000",="0.415",="2480"
="High-skill occupation share (male)",="0.358",="0.122",="0.082",="0.799",="2480"
="High-skill occupation share (female)",="0.351",="0.090",="0.000",="0.864",="2480"
="Middle-skill occupation share (male)",="0.295",="0.079",="0.044",="0.501",="2480"
="Middle-skill occupation share (female)",="0.401",="0.055",="0.000",="0.600",="2480"
="Low-skill occupation share (male)",="0.326",="0.082",="0.087",="0.662",="2480"
="Low-skill occupation share (female)",="0.231",="0.061",="0.000",="0.680",="2480"
="",="mean",="sd",="min",="max",="count"
="Panel D. Marriage Outcomes",="",="",="",="",=""
="Married share (age 20-34, both sexes)",="0.293",="0.082",="0.000",="0.636",="2479"
="Married share (age 20-34, male)",="0.249",="0.072",="0.000",="0.595",="2479"
="Married share (age 20-34, female)",="0.340",="0.102",="0.000",="0.731",="2479"
